MalePatients,FemalePatients,ColonCancerPatients,ThroatCancerPatients,SkinCancerPatients,CancerConditions
217,395,46,8,17,Progressing
88,310,,25,,Progressing
418,122,42,47,27,Progressing
294,223,,23,37,Progressing
,281,20,22,15,Remission
160,319,40,30,23,Stable
485,477,7,38,38,Remission
96,496,21,43,11,Stable
112,411,4,1,49,Stable
274,271,16,49,41,Remission
,,36,17,6,Progressing
118,,13,15,35,Remission
348,75,38,28,16,Remission
481,102,40,10,48,Remission
339,414,27,1,,Stable
345,78,30,13,,Progressing
252,,16,3,32,Stable
110,352,34,38,18,Remission
,441,39,33,25,Remission
367,328,21,45,10,Stable
363,166,,38,30,Stable
210,155,47,8,0,Progressing
380,468,28,39,39,Remission
65,358,9,40,35,Stable
387,276,,6,28,Stable
143,401,34,16,24,Stable
,235,43,22,46,Stable
187,310,15,44,48,Remission
387,65,49,10,17,Progressing
87,322,48,21,2,Stable
176,209,6,17,17,Stable
324,407,29,48,6,Progressing
213,299,,27,27,Remission
492,273,,15,16,Stable
368,305,7,41,24,Progressing
126,229,16,3,,Progressing
223,69,20,35,39,Remission
436,161,25,21,42,Progressing
407,169,27,10,2,Remission
370,243,38,20,24,Progressing
425,160,32,39,6,Stable
140,259,39,40,46,Remission
287,50,18,,9,Progressing
313,107,28,,,Stable
228,142,19,8,43,Progressing
258,,19,34,18,Stable
122,260,9,,14,Remission
439,477,11,8,20,Stable
156,281,32,12,20,Progressing
,311,24,5,36,Stable
344,413,24,3,27,Stable
418,152,,45,44,Remission
493,99,3,27,31,Stable
333,423,8,10,40,Stable
402,,14,33,26,Progressing
231,137,25,34,22,Progressing
86,69,14,4,9,Remission
186,63,25,38,39,Remission
387,,27,10,,Remission
105,474,,11,5,Progressing
236,345,31,42,23,Stable
390,,11,18,17,Remission
307,429,34,,9,Progressing
494,257,31,,14,Progressing
107,350,8,13,44,Remission
412,248,,43,42,Progressing
172,129,12,1,33,Stable
237,120,43,7,,Progressing
279,204,32,21,49,Progressing
217,127,31,,34,Stable
469,127,18,20,26,Remission
163,221,29,20,24,Progressing
301,338,15,27,2,Stable
,,11,32,20,Remission
86,349,9,28,38,Stable
,325,1,36,31,Progressing
141,416,17,21,49,Stable
67,469,12,25,20,Remission
403,,28,10,8,Remission
112,209,23,10,49,Remission
199,289,37,,0,Stable
188,472,11,33,3,Stable
,73,28,18,,Remission
234,263,21,47,48,Remission
254,119,35,36,,Remission
309,417,0,13,,Progressing
263,265,42,28,26,Progressing
305,153,39,18,14,Progressing
184,264,,36,44,Remission
,,33,20,,Progressing
,343,47,23,40,Remission
,379,32,25,,Stable
137,385,3,40,43,Remission
373,252,37,11,43,Remission
256,337,29,47,13,Progressing
178,94,45,18,22,Stable
360,366,19,46,46,Stable
52,247,25,48,0,Stable
471,265,,29,31,Progressing
,358,6,14,40,Progressing
170,433,6,2,25,Progressing
,484,49,,47,Progressing
151,381,,12,8,Progressing
87,233,22,8,15,Remission
,76,33,12,30,Stable
462,215,19,15,1,Progressing
182,367,14,13,31,Stable
251,323,32,7,9,Progressing
397,432,,18,24,Remission
70,414,19,31,17,Stable
291,152,12,34,44,Progressing
158,497,43,22,,Remission
352,382,,,28,Remission
133,422,,17,44,Stable
132,153,36,47,,Progressing
340,463,6,13,2,Remission
,294,7,15,14,Remission
178,354,22,23,,Remission
245,218,13,48,30,Stable
189,165,3,31,,Stable
493,190,20,10,37,Progressing
332,467,45,44,21,Progressing
361,405,9,10,13,Stable
283,174,21,3,8,Stable
72,74,29,25,17,Stable
202,243,29,45,7,Remission
,433,15,4,37,Stable
110,149,10,35,14,Progressing
368,,21,32,,Remission
427,54,28,13,14,Stable
101,68,24,31,5,Progressing
393,219,13,6,,Stable
202,323,13,9,41,Progressing
286,303,1,1,18,Remission
360,170,12,9,39,Remission
351,81,2,34,4,Progressing
81,198,29,20,26,Progressing
104,315,17,39,9,Remission
401,86,35,41,42,Remission
438,,20,7,45,Progressing
85,,18,45,13,Progressing
159,62,15,17,33,Stable
226,232,27,8,48,Stable
411,194,3,,14,Remission
363,314,14,29,28,Remission
344,137,0,3,25,Stable
385,477,47,34,26,Stable
,95,46,13,2,Remission
418,441,15,13,2,Remission
262,168,19,47,34,Progressing
,470,32,36,34,Progressing
186,68,16,19,49,Remission
55,496,4,28,5,Stable
158,269,4,22,13,Progressing
84,479,,,25,Remission
88,282,12,20,2,Stable
199,143,43,30,32,Stable
474,300,35,,41,Remission
167,299,29,,12,Progressing
,331,3,6,28,Progressing
,281,22,12,8,Remission
136,95,20,22,31,Stable
125,423,20,7,21,Progressing
463,95,5,11,21,Remission
362,63,23,35,33,Progressing
432,134,46,15,9,Remission
263,368,30,25,24,Progressing
334,377,18,28,11,Progressing
288,,37,28,2,Progressing
214,77,11,5,18,Remission
136,,13,36,32,Remission
190,,49,32,46,Stable
209,392,11,30,25,Progressing
95,451,14,45,12,Progressing
421,468,18,40,6,Remission
161,382,27,17,33,Progressing
456,381,39,37,21,Remission
,,40,46,19,Stable
450,163,,,42,Progressing
296,438,4,,22,Remission
,380,5,,47,Remission
134,,22,36,13,Progressing
499,108,,13,29,Stable
183,252,36,38,22,Remission
157,364,32,3,46,Progressing
67,,,29,18,Stable
143,283,20,32,38,Remission
199,352,19,35,40,Stable
295,144,0,,35,Remission
,190,38,13,5,Progressing
463,383,46,22,22,Progressing
258,162,16,47,9,Progressing
,,28,27,34,Stable
284,411,7,6,20,Stable
465,394,25,41,31,Progressing
475,338,27,9,29,Remission
171,146,33,3,32,Stable
187,495,25,43,5,Stable
164,384,,,,Remission
469,,43,12,14,Remission
211,93,36,20,42,Progressing
250,491,12,32,24,Stable
283,425,37,39,,Remission
77,279,24,27,5,Remission
60,439,46,,36,Progressing
255,157,22,31,1,Progressing
216,266,21,47,16,Stable
296,448,20,4,23,Remission
,309,29,25,,Progressing
295,361,,,43,Stable
,369,3,25,13,Progressing
196,245,32,2,6,Stable
167,467,46,23,25,Remission
448,144,11,33,31,Progressing
431,105,8,33,28,Stable
461,81,31,19,45,Stable
201,280,10,29,38,Remission
121,421,36,41,8,Progressing
412,58,,19,13,Stable
186,240,6,40,16,Stable
224,410,7,17,48,Stable
338,249,32,37,,Stable
495,383,24,19,29,Progressing
68,210,0,5,44,Progressing
244,136,2,,28,Stable
379,70,39,,28,Progressing
473,360,27,40,17,Progressing
224,125,42,40,,Remission
498,490,32,2,18,Remission
462,435,45,43,16,Stable
483,190,0,42,5,Remission
403,175,37,45,,Progressing
190,300,26,18,37,Stable
295,437,37,9,2,Remission
434,,,4,46,Stable
467,483,9,21,34,Stable
142,420,11,8,46,Remission
481,97,9,32,32,Progressing
288,428,33,14,,Progressing
254,127,23,23,2,Remission
97,79,27,29,4,Remission
482,334,21,,13,Remission
294,185,44,38,35,Remission
369,189,15,5,27,Stable
366,,12,14,40,Progressing
462,331,35,37,31,Progressing
344,99,35,38,17,Remission
177,307,42,21,41,Progressing
393,360,22,2,39,Progressing
331,409,13,28,12,Progressing
66,489,31,28,1,Remission
120,319,2,30,24,Remission
318,183,,44,19,Progressing
374,283,18,1,6,Remission
331,,21,34,10,Progressing
,153,0,44,4,Remission
56,303,4,8,28,Progressing
,,48,,,Remission
354,386,32,18,7,Progressing
152,266,18,49,,Remission
358,110,35,36,41,Remission
242,317,5,9,1,Progressing
290,,14,45,,Stable
111,62,35,20,25,Progressing
66,196,32,16,22,Progressing
220,477,23,2,4,Stable
74,289,26,6,15,Remission
300,138,48,40,41,Stable
302,,10,36,10,Progressing
436,364,48,35,18,Stable
256,342,22,,15,Remission
78,,32,12,31,Progressing
166,321,40,40,11,Progressing
465,,45,29,1,Remission
331,476,46,,42,Remission
429,299,28,6,21,Progressing
193,136,,29,25,Remission
74,191,0,28,32,Stable
,183,33,7,23,Stable
205,328,17,9,4,Stable
122,175,17,32,20,Stable
169,365,5,,45,Remission
361,445,39,28,17,Stable
370,190,0,28,38,Stable
142,405,46,,4,Progressing
135,152,,0,7,Remission
385,275,29,33,20,Remission
474,439,3,43,46,Remission
,112,31,31,,Progressing
484,343,9,44,12,Progressing
167,433,42,13,18,Remission
282,355,4,36,28,Stable
,303,,34,1,Progressing
255,229,4,23,36,Progressing
462,89,10,48,25,Progressing
388,313,,0,28,Remission
196,238,26,,4,Stable
499,57,3,,31,Progressing
,153,9,48,37,Progressing
478,274,38,3,47,Remission
,83,32,37,1,Stable
,285,37,0,4,Progressing
188,,7,40,46,Remission
230,237,48,30,32,Remission
479,362,23,35,,Progressing
79,,38,8,18,Remission
106,71,32,40,14,Remission
281,392,40,44,34,Progressing
195,89,42,22,7,Remission
484,222,18,30,46,Stable
433,488,1,28,0,Stable
97,228,10,48,37,Progressing
243,135,34,20,21,Stable
,182,,2,16,Stable
185,400,41,25,15,Progressing
71,62,2,5,44,Remission
55,77,21,19,0,Stable
253,133,34,,2,Remission
288,367,,45,5,Progressing
234,,24,12,2,Stable
409,392,38,40,46,Progressing
341,329,,22,29,Remission
384,403,0,14,46,Progressing
269,312,6,45,10,Stable
165,215,,30,26,Progressing
362,342,42,3,21,Progressing
98,117,5,10,5,Progressing
222,275,35,1,37,Remission
131,219,20,15,40,Remission
,135,45,30,45,Remission
382,182,34,47,30,Remission
94,497,35,38,42,Stable
384,227,7,42,5,Remission
69,392,49,43,,Remission
497,301,3,,19,Stable
270,64,42,47,46,Remission
172,272,15,,40,Progressing
,428,2,15,,Remission
270,250,6,38,1,Stable
372,156,1,24,30,Progressing
388,299,0,12,37,Stable
,486,0,4,25,Progressing
231,458,,29,,Progressing
255,138,,0,,Progressing
369,174,23,4,45,Stable
89,162,4,13,30,Progressing
108,186,20,10,23,Progressing
488,296,27,33,12,Progressing
111,215,17,28,,Progressing
181,199,23,,36,Progressing
,412,31,14,40,Remission
421,392,44,45,24,Stable
,482,32,24,28,Progressing
171,117,9,29,30,Progressing
156,270,8,44,42,Progressing
145,320,48,1,38,Progressing
396,370,32,39,,Progressing
463,359,32,26,11,Remission
284,,6,48,4,Remission
435,398,3,14,26,Progressing
111,,27,,33,Progressing
305,,,19,13,Progressing
98,149,31,13,,Stable
442,301,43,26,36,Stable
397,126,,2,35,Remission
208,184,45,,9,Remission
173,441,9,2,28,Stable
366,461,,12,15,Progressing
256,222,38,24,37,Remission
97,412,35,17,20,Progressing
458,250,33,,,Progressing
469,266,,38,40,Remission
185,425,17,4,32,Stable
250,257,15,1,28,Stable
,,40,29,47,Stable
363,60,36,16,16,Progressing
406,336,40,28,12,Progressing
417,305,24,,5,Progressing
478,61,7,3,1,Stable
367,429,23,8,7,Progressing
344,127,19,20,31,Remission
363,484,47,42,35,Progressing
,221,,11,8,Remission
404,145,19,,22,Stable
260,355,,49,6,Progressing
241,422,3,3,30,Progressing
93,322,47,27,20,Stable
78,,35,8,0,Progressing
108,434,5,39,45,Remission
120,462,,31,1,Stable
141,228,17,12,39,Remission
314,113,46,33,10,Stable
432,181,,18,36,Remission
269,392,17,13,17,Remission
439,,22,4,43,Remission
462,321,34,26,23,Progressing
491,,5,27,18,Progressing
450,381,25,,4,Progressing
449,486,20,9,28,Progressing
264,390,23,23,38,Progressing
436,158,14,,1,Remission
326,322,26,15,,Progressing
113,217,31,16,44,Remission
395,,11,0,10,Stable
341,229,4,20,,Remission
294,107,6,46,12,Progressing
111,,21,48,28,Stable
475,128,26,42,31,Progressing
381,110,,21,44,Stable
219,418,38,4,,Remission
494,170,44,35,42,Stable
318,256,34,20,7,Progressing
316,83,25,8,9,Stable
103,119,22,26,24,Remission
65,66,12,47,,Stable
57,69,25,11,27,Remission
,364,2,17,32,Stable
108,118,28,,38,Remission
362,264,1,14,25,Remission
89,210,27,49,,Remission
286,151,22,43,37,Remission
492,425,35,29,25,Progressing
435,255,48,44,31,Remission
143,194,5,32,45,Progressing
271,106,10,35,27,Remission
253,132,37,39,6,Stable
187,434,33,29,34,Stable
349,318,16,25,1,Progressing
444,460,2,20,,Stable
256,236,43,36,49,Remission
385,55,45,,21,Stable
130,402,33,30,,Progressing
267,399,21,16,45,Stable
51,159,28,16,49,Progressing
227,,28,,44,Remission
445,187,4,23,7,Remission
420,100,9,32,3,Stable
395,452,9,3,,Stable
,,8,8,43,Stable
195,136,20,1,45,Remission
367,117,12,34,38,Stable
273,133,9,37,11,Remission
418,91,,44,,Progressing
433,268,10,14,8,Stable
111,106,3,42,41,Stable
343,275,45,41,39,Progressing
288,245,30,2,19,Progressing
244,297,48,30,33,Progressing
215,215,33,40,25,Progressing
271,111,,41,,Remission
,312,34,22,20,Stable
178,161,38,11,22,Remission
222,302,38,7,17,Remission
205,248,32,20,,Progressing
454,227,7,20,41,Stable
427,485,31,31,28,Remission
159,75,32,16,37,Remission
318,459,7,36,37,Progressing
460,,45,23,12,Stable
405,68,13,7,31,Stable
440,314,33,17,18,Stable
327,366,7,10,16,Remission
123,69,41,9,1,Progressing
,155,6,25,17,Stable
,286,12,46,38,Remission
437,355,20,5,26,Remission
328,295,46,16,13,Stable
424,130,31,,14,Progressing
375,199,10,41,,Progressing
389,446,13,36,8,Stable
406,445,10,27,20,Remission
389,59,,15,42,Progressing
253,370,33,11,34,Remission
210,273,43,20,13,Remission
77,463,46,23,,Progressing
441,313,16,,7,Remission
306,198,13,36,34,Remission
214,327,24,20,17,Stable
112,323,47,32,13,Progressing
71,243,26,1,7,Remission
119,481,7,36,,Progressing
430,221,16,18,7,Progressing
454,,4,27,36,Remission
145,359,11,14,43,Progressing
212,75,37,0,1,Stable
128,,17,42,16,Stable
54,405,25,27,12,Remission
365,75,30,49,,Progressing
169,83,36,34,40,Remission
351,313,5,31,40,Progressing
227,187,40,,8,Remission
225,353,14,8,26,Remission
439,,,23,19,Progressing
266,412,48,3,37,Stable
105,291,25,44,11,Remission
415,103,11,40,41,Stable
236,217,40,,21,Progressing
281,168,46,47,,Remission
304,192,13,21,,Progressing
462,130,0,39,38,Stable
153,294,16,38,30,Progressing
126,451,32,48,12,Remission
279,401,28,24,0,Stable
,,44,47,37,Remission
307,456,,21,39,Stable
313,111,7,49,8,Progressing
380,95,29,47,38,Progressing
,,12,46,9,Remission
430,148,15,33,28,Remission
305,344,1,,39,Remission
87,448,,35,29,Stable
225,102,17,36,1,Stable
76,241,34,38,17,Remission
325,496,44,26,,Stable
189,129,18,46,46,Stable
348,65,12,48,31,Progressing
494,409,3,31,23,Progressing
336,375,18,41,37,Progressing
140,243,49,28,13,Remission
110,190,,40,24,Progressing
414,157,37,47,24,Progressing
396,352,30,31,31,Stable
212,314,35,23,26,Progressing
,496,3,2,31,Stable
192,339,38,26,30,Progressing
449,258,6,8,49,Remission
,462,,39,23,Remission
318,214,,22,34,Progressing
418,476,,6,29,Progressing
340,391,46,16,32,Progressing
,420,,36,32,Remission
454,369,35,6,45,Stable
487,201,31,29,26,Stable
463,339,23,,32,Progressing
,481,,17,32,Remission
340,317,44,,3,Stable
135,200,27,21,29,Progressing
215,256,18,13,43,Remission
464,,6,17,14,Remission
,402,,34,28,Stable
,426,40,16,27,Remission
,190,16,18,31,Progressing
405,392,1,,35,Progressing
465,407,15,38,29,Stable
232,145,38,35,41,Remission
256,478,17,14,42,Stable
305,419,38,28,37,Stable
284,276,0,39,,Remission
491,242,2,15,11,Stable
404,352,20,32,2,Remission
52,363,29,,14,Progressing
257,,,15,47,Stable
246,426,21,29,9,Remission
390,167,46,33,21,Remission
174,54,24,,22,Remission
187,493,2,39,10,Stable
388,401,29,43,15,Progressing
74,292,23,42,,Stable
,70,,37,45,Progressing
110,201,,17,15,Stable
78,177,22,4,13,Stable
432,173,7,46,5,Stable
68,195,3,39,41,Progressing
220,,49,5,,Remission
499,359,38,11,30,Stable
123,,42,11,,Stable
110,201,30,11,9,Progressing
476,409,28,8,45,Stable
202,160,35,41,19,Remission
325,165,12,21,48,Remission
97,,40,48,8,Progressing
260,106,8,49,14,Progressing
392,300,20,,38,Remission
457,433,2,3,1,Remission
188,456,24,49,3,Remission
159,199,24,2,23,Progressing
232,211,11,15,17,Remission
77,169,28,13,10,Remission
246,119,10,40,36,Remission
240,461,10,37,,Stable
364,400,48,3,7,Progressing
438,148,25,1,21,Progressing
100,216,13,9,4,Progressing
198,347,15,10,1,Progressing
317,200,9,38,,Stable
99,375,30,25,34,Stable
437,51,30,36,31,Stable
295,201,35,25,43,Stable
162,450,9,3,18,Stable
,,25,25,,Progressing
215,114,19,,3,Progressing
,375,43,27,,Progressing
63,118,8,1,45,Stable
252,170,14,1,18,Remission
337,158,,15,25,Progressing
,365,6,22,49,Progressing
238,296,25,22,25,Remission
451,,23,12,6,Stable
204,142,11,20,31,Remission
104,317,19,38,46,Remission
231,152,13,24,32,Progressing
259,480,21,36,43,Progressing
425,,15,48,25,Stable
124,370,28,12,23,Remission
,460,31,14,22,Stable
477,353,18,27,37,Remission
182,393,34,2,25,Progressing
,111,42,22,44,Remission
474,,31,3,30,Stable
108,452,19,,5,Remission
394,492,39,49,44,Stable
231,185,19,2,30,Remission
455,104,7,38,,Progressing
388,157,34,7,47,Progressing
370,,41,42,39,Stable
113,307,12,24,44,Progressing
376,302,40,40,,Remission
,271,5,11,11,Remission
242,418,46,,16,Progressing
192,216,,32,25,Stable
153,478,4,45,2,Remission
455,209,44,24,14,Stable
,498,33,24,48,Remission
291,215,5,34,37,Stable
480,254,32,,23,Stable
258,316,14,41,29,Remission
142,187,14,25,43,Remission
,417,13,9,35,Stable
191,492,38,23,43,Remission
483,,4,34,26,Progressing
453,297,25,28,21,Remission
483,104,47,37,1,Stable
161,453,16,4,,Remission
466,258,42,23,15,Remission
424,66,46,18,23,Stable
108,117,15,45,29,Remission
92,182,,48,43,Stable
256,237,37,43,47,Stable
317,456,22,8,45,Stable
345,479,,25,0,Stable
167,357,32,24,26,Progressing
69,187,28,34,8,Progressing
271,223,45,,6,Stable
215,461,,35,4,Remission
180,146,33,13,29,Progressing
205,220,26,,41,Stable
233,203,14,31,26,Progressing
,232,49,25,9,Stable
143,291,8,14,24,Progressing
,353,25,48,17,Stable
371,334,2,,6,Progressing
342,76,35,36,30,Progressing
482,,46,37,31,Remission
279,409,4,36,49,Progressing
371,109,19,,44,Remission
341,251,19,13,10,Progressing
487,299,4,35,9,Stable
75,411,9,36,21,Remission
124,118,15,10,30,Progressing
413,419,,26,40,Remission
473,70,43,1,46,Stable
348,,24,,,Stable
199,151,29,1,2,Stable
197,436,13,19,23,Stable
57,144,21,43,13,Stable
78,,42,47,15,Remission
345,410,27,16,27,Remission
463,278,29,3,,Progressing
258,174,18,13,39,Progressing
177,307,37,6,1,Stable
389,371,41,14,33,Stable
165,418,19,,17,Remission
488,475,34,15,6,Stable
193,285,21,,48,Stable
479,211,14,1,37,Stable
367,91,10,18,41,Progressing
284,,33,0,6,Remission
56,402,23,30,,Progressing
94,117,5,3,42,Stable
492,222,16,26,,Stable
288,380,27,24,48,Progressing
489,174,49,21,5,Progressing
481,219,30,42,19,Remission
204,96,,9,30,Stable
230,310,8,49,18,Stable
264,266,9,32,21,Progressing
137,354,20,48,20,Remission
305,173,33,47,17,Remission
122,342,30,43,31,Stable
468,211,28,29,46,Stable
228,250,42,29,33,Progressing
261,451,42,15,26,Stable
342,324,,8,37,Progressing
283,255,32,16,43,Stable
288,89,45,34,,Stable
272,322,0,49,32,Stable
168,237,20,46,26,Remission
362,404,22,14,,Stable
313,,8,47,42,Stable
256,91,0,27,18,Remission
,428,20,19,30,Remission
422,156,21,32,3,Stable
271,377,3,32,18,Remission
415,114,0,35,,Remission
325,414,9,12,39,Remission
429,358,,3,21,Remission
280,184,35,22,8,Progressing
358,438,28,7,30,Stable
168,73,,12,9,Progressing
,77,4,23,9,Stable
482,111,28,39,,Remission
322,322,46,,9,Progressing
113,278,46,,35,Remission
347,69,26,29,17,Remission
399,52,,24,43,Remission
462,,15,32,42,Stable
452,267,,8,47,Remission
60,448,35,25,18,Stable
147,356,24,23,42,Stable
483,481,,32,22,Remission
,185,0,38,3,Stable
413,446,4,24,11,Progressing
107,481,40,44,48,Stable
339,52,19,,23,Remission
300,242,,40,12,Remission
325,122,35,47,,Progressing
99,464,28,48,26,Progressing
407,410,47,40,37,Stable
265,167,33,5,38,Stable
443,203,47,19,7,Progressing
465,258,17,43,25,Remission
,489,1,15,33,Remission
320,83,15,20,8,Progressing
133,186,28,14,9,Progressing
436,367,32,38,0,Remission
,169,15,41,,Remission
175,164,34,3,49,Stable
345,62,46,23,7,Progressing
121,,42,2,9,Progressing
345,474,41,49,42,Progressing
285,382,16,0,48,Remission
105,306,3,,24,Stable
456,138,48,12,30,Remission
409,,3,17,38,Progressing
,309,24,,2,Progressing
159,277,32,10,38,Progressing
241,496,13,41,37,Progressing
,229,23,28,34,Progressing
142,,10,3,,Remission
399,333,24,24,0,Stable
105,426,27,35,4,Progressing
,175,6,35,26,Progressing
187,183,48,43,44,Progressing
88,204,35,39,25,Remission
77,297,9,27,42,Remission
98,189,48,44,,Progressing
469,367,35,7,10,Progressing
174,485,30,20,33,Progressing
62,225,18,34,40,Progressing
85,372,17,43,1,Progressing
150,223,48,17,20,Remission
331,123,5,46,25,Progressing
135,400,27,24,11,Progressing
,192,6,45,8,Progressing
272,341,37,40,40,Remission
387,447,11,4,22,Progressing
,161,40,46,41,Remission
215,,49,7,4,Stable
432,180,33,22,8,Remission
393,418,24,2,49,Progressing
432,159,16,,9,Remission
425,419,32,36,,Progressing
327,116,22,30,9,Remission
,431,8,28,13,Remission
80,135,5,,35,Stable
424,324,1,19,9,Remission
60,276,37,2,49,Stable
351,487,,22,36,Stable
145,374,2,39,40,Remission
239,59,15,20,37,Remission
241,466,24,12,47,Remission
315,446,23,7,21,Stable
473,433,46,4,22,Progressing
177,404,28,24,15,Progressing
287,484,43,,10,Stable
457,337,39,36,46,Stable
404,161,25,40,34,Remission
477,73,37,,47,Remission
161,,34,7,19,Progressing
365,388,22,,,Progressing
495,375,3,3,40,Progressing
392,217,41,,4,Remission
194,487,13,21,35,Remission
114,158,46,13,12,Stable
,477,,18,16,Remission
272,239,6,12,25,Progressing
362,404,,34,43,Stable
488,245,41,3,19,Remission
155,82,18,32,38,Progressing
230,254,1,21,32,Remission
233,361,46,0,29,Stable
275,469,0,10,,Remission
314,231,41,15,6,Progressing
327,,37,3,29,Stable
446,476,12,28,1,Progressing
138,317,41,38,11,Stable
225,60,43,43,42,Remission
67,119,23,37,39,Remission
420,305,31,23,0,Progressing
473,445,29,8,2,Remission
450,268,5,7,7,Stable
448,346,37,13,25,Remission
155,458,32,14,39,Remission
320,411,43,21,10,Remission
368,308,22,36,20,Remission
216,52,9,14,,Remission
62,133,45,5,39,Remission
386,,14,,25,Remission
81,200,22,19,20,Remission
442,225,35,40,8,Progressing
89,244,0,35,16,Progressing
197,475,7,1,36,Remission
267,156,2,,1,Progressing
268,473,13,,,Remission
131,,16,2,39,Remission
382,325,33,6,27,Remission
257,444,46,19,26,Progressing
250,401,5,48,39,Stable
496,429,4,40,0,Remission
381,204,45,40,45,Remission
477,326,40,4,10,Stable
87,285,39,24,38,Progressing
260,289,28,37,17,Stable
493,419,34,17,26,Remission
376,62,17,0,,Stable
298,,39,24,9,Remission
276,84,47,16,35,Progressing
97,96,29,,20,Progressing
67,263,14,,27,Progressing
449,461,14,,0,Remission
,454,15,,13,Progressing
344,,32,20,19,Stable
,208,,22,8,Progressing
236,493,18,42,44,Remission
394,174,36,9,26,Stable
273,159,49,16,48,Stable
367,86,2,0,3,Stable
,326,35,36,36,Stable
414,63,3,47,17,Remission
386,396,10,6,30,Progressing
278,281,40,11,48,Stable
439,365,32,39,38,Progressing
126,173,27,49,9,Progressing
237,,31,0,8,Progressing
395,160,,19,27,Progressing
319,173,8,43,27,Remission
144,462,,30,12,Stable
359,480,5,3,17,Stable
181,79,48,25,11,Progressing
88,164,26,11,7,Stable
121,139,11,21,,Progressing
330,261,21,0,49,Remission
,87,39,0,4,Stable
209,132,47,2,6,Progressing
236,76,36,11,14,Stable
240,266,20,20,2,Progressing
471,409,32,12,,Stable
169,421,16,12,37,Remission
,264,28,40,25,Stable
,270,39,17,37,Remission
271,64,9,32,32,Remission
461,,17,,20,Progressing
180,,46,24,16,Progressing
286,315,12,22,42,Stable
,169,26,23,,Remission
275,450,9,36,24,Progressing
257,177,31,25,40,Remission
455,260,40,3,18,Remission
145,,44,37,37,Remission
,225,2,34,24,Stable
,182,21,48,38,Remission
296,374,26,10,3,Remission
121,369,2,35,2,Stable
367,63,32,24,33,Stable
234,99,1,19,41,Progressing
55,459,10,0,9,Remission
255,121,45,,48,Remission
81,,,3,26,Stable
148,440,38,22,47,Stable
443,432,32,34,25,Progressing
436,65,6,41,26,Stable
305,488,14,21,0,Stable
236,383,25,,43,Stable
125,406,10,0,19,Stable
226,,37,3,24,Progressing
364,154,26,,9,Remission
336,181,38,29,0,Remission
398,97,6,0,15,Remission
304,297,0,47,10,Remission
374,,9,18,3,Remission
239,160,20,,,Stable
357,469,,,12,Remission
394,375,29,49,20,Stable
176,385,29,1,14,Remission
474,398,7,5,9,Remission
336,87,23,20,37,Stable
303,406,18,32,10,Remission
262,289,,18,31,Stable
299,367,14,26,,Progressing
133,170,35,36,19,Progressing
432,,5,28,35,Progressing
455,59,41,,29,Remission
437,282,49,33,9,Remission
62,85,47,0,14,Remission
94,462,17,47,,Remission
176,53,37,24,0,Stable
,,18,20,20,Progressing
163,105,48,33,14,Stable
482,91,49,25,2,Progressing
325,304,29,,32,Progressing
254,277,12,,37,Stable
386,163,38,22,18,Stable
487,286,11,16,3,Stable
469,,33,46,,Progressing
434,223,11,41,24,Stable
448,304,43,11,33,Remission
322,466,23,43,16,Stable
457,326,,19,5,Progressing
107,384,35,38,11,Progressing
377,490,49,26,14,Stable
268,118,47,41,16,Stable
158,375,13,36,0,Progressing
328,279,16,19,13,Progressing
223,116,48,10,1,Stable
377,353,2,27,3,Remission
313,466,37,1,1,Remission
364,,22,23,25,Remission
160,466,12,15,,Progressing
236,208,,11,49,Remission
318,198,20,15,39,Remission
472,76,40,35,32,Stable
278,121,7,1,47,Stable
205,297,16,24,38,Remission
238,150,,28,5,Progressing
321,,15,27,29,Remission
424,145,27,9,21,Stable
51,,15,44,26,Stable
295,331,45,22,18,Stable
259,371,45,31,9,Remission
450,445,13,30,,Progressing
335,327,45,18,25,Remission
408,,43,14,41,Stable
62,312,37,,2,Stable
145,156,19,16,2,Stable
270,117,44,,5,Stable
287,177,47,19,48,Remission
143,342,40,8,,Remission
,343,33,37,9,Progressing
318,145,28,,37,Stable
220,,2,1,12,Remission
143,50,9,17,37,Remission
198,458,19,22,11,Stable
161,347,1,18,45,Remission
104,229,26,6,48,Stable
386,457,,,26,Progressing
473,230,,49,7,Stable
165,284,39,19,4,Stable
192,489,16,19,35,Remission
250,368,32,18,37,Progressing
229,386,5,40,42,Progressing
251,57,38,15,29,Remission
413,492,46,37,36,Progressing
102,478,17,20,28,Progressing
433,76,8,28,21,Stable
229,357,7,43,13,Remission
463,195,24,37,9,Progressing
466,140,30,44,10,Progressing
,,41,23,34,Progressing
357,321,3,,22,Stable
186,371,19,28,7,Stable
231,54,27,,20,Remission
416,131,39,44,,Remission
50,436,0,,27,Stable
93,,,11,30,Remission
276,167,43,29,27,Remission
380,130,22,,,Remission
147,119,46,,26,Stable
257,164,12,4,39,Stable
314,312,15,15,20,Progressing
337,355,25,26,8,Progressing
320,191,30,3,28,Progressing
189,471,49,7,14,Progressing
286,256,0,47,32,Remission
490,160,16,,36,Remission
,352,15,16,46,Stable
121,161,36,45,35,Remission
204,466,9,43,27,Remission
239,92,37,2,9,Remission
317,396,,26,22,Progressing
370,334,30,33,27,Stable
156,177,9,44,33,Progressing
281,234,48,20,4,Remission
91,278,33,42,17,Remission
,438,5,23,5,Stable
420,270,27,43,41,Progressing
188,401,27,49,46,Remission
